Entity,Code,Year,Coal consumption - TWh
Asia Pacific (EI),,1997,12493.179
Asia Pacific (EI),,1998,12483.228
Asia Pacific (EI),,1999,12863.831
Asia Pacific (EI),,2000,13352.603
Asia Pacific (EI),,2001,13963.222
Asia Pacific (EI),,2002,15034.035
Asia Pacific (EI),,2003,17182.91
Asia Pacific (EI),,2004,19323.76
Asia Pacific (EI),,2005,21965.541
Asia Pacific (EI),,2006,23637.746
Asia Pacific (EI),,2007,25611.322
Asia Pacific (EI),,2008,26328.441
Asia Pacific (EI),,2009,27175.066
Asia Pacific (EI),,2010,28368.922
Asia Pacific (EI),,2011,30401.953
Asia Pacific (EI),,2012,31007.68
Asia Pacific (EI),,2013,31678.617
Asia Pacific (EI),,2014,32122.943
